library	run	sample	include	Project
J430f	DP15-plate1-6.0	J430f	Y	DP15
J430g	DP15-plate1-6.0	J430g	Y	DP15
J430h	DP15-plate1-6.0	J430h	Y	DP15
J430i	DP15-plate1-6.0	J430i	Y	DP15
J431	DP15-plate1-6.0	J431	Y	DP15
J432	DP15-plate1-6.0	J432	Y	DP15
J433	DP15-plate1-6.0	J433	Y	DP15
J433a	DP15-plate1-6.0	J433a	Y	DP15
J433b	DP15-plate1-6.0	J433b	Y	DP15
J433c	DP15-plate1-6.0	J433c	Y	DP15
J433d	DP15-plate1-6.0	J433d	Y	DP15
J433e	DP15-plate1-6.0	J433e	Y	DP15
J433f	DP15-plate1-6.0	J433f	Y	DP15
J433g	DP15-plate1-6.0	J433g	Y	DP15
J433h	DP15-plate1-6.0	J433h	Y	DP15
J434	DP15-plate1-6.0	J434	Y	DP15
J434a	DP15-plate1-6.0	J434a	Y	DP15
J434b	DP15-plate1-6.0	J434b	Y	DP15
J435	DP15-plate1-6.0	J435	Y	DP15
J435a	DP15-plate1-6.0	J435a	Y	DP15
J435b	DP15-plate1-6.0	J435b	Y	DP15
J435c	DP15-plate1-6.0	J435c	Y	DP15
J435d	DP15-plate1-6.0	J435d	Y	DP15
J435e	DP15-plate1-6.0	J435e	Y	DP15
J435f	DP15-plate1-6.0	J435f	Y	DP15
J435g	DP15-plate1-6.0	J435g	Y	DP15
J435h	DP15-plate1-6.0	J435h	Y	DP15
J435i	DP15-plate1-6.0	J435i	Y	DP15
J436	DP15-plate1-6.0	J436	Y	DP15
J436a	DP15-plate1-6.0	J436a	Y	DP15
J436b	DP15-plate1-6.0	J436b	Y	DP15
J436c	DP15-plate1-6.0	J436c	Y	DP15
J436c-rep	DP15-plate1-6.0	J436c	Y	DP15
J436d	DP15-plate1-6.0	J436d	Y	DP15
J436e	DP15-plate1-6.0	J436e	Y	DP15
J436f	DP15-plate1-6.0	J436f	Y	DP15
J436g	DP15-plate1-6.0	J436g	Y	DP15
J436h	DP15-plate1-6.0	J436h	Y	DP15
J436i	DP15-plate1-6.0	J436i	Y	DP15
J437	DP15-plate1-6.0	J437	Y	DP15
J438	DP15-plate1-6.0	J438	Y	DP15
M1c	DP15-plate1-6.0	MelMosaic	Y	DP15
M2a	DP15-plate1-6.0	MelMosaic	Y	DP15
M2b	DP15-plate1-6.0	MelMosaic	Y	DP15
NAL05	DP15-plate1-6.0	NAL05	Y	DP15
NBJ30	DP15-plate1-6.0	NBJ30	Y	DP15
NCD30	DP15-plate1-6.0	NCD30	Y	DP15
NCR13	DP15-plate1-6.0	NCR13	Y	DP15
NDU10	DP15-plate1-6.0	NDU10	Y	DP15
NE4583	DP15-plate1-6.0	NE4583	Y	DP15
NE10467	DP15-plate1-6.0	NE10467	Y	DP15
NE25923	DP15-plate1-6.0	NE25923	Y	DP15
NE25953	DP15-plate1-6.0	NE25953	Y	DP15
NE35955	DP15-plate1-6.0	NE35955	Y	DP15
NE35959	DP15-plate1-6.0	NE35959	Y	DP15
NE36811	DP15-plate1-6.0	NE36811	Y	DP15
NE37169	DP15-plate1-6.0	NE37169	Y	DP15
NE37647	DP15-plate1-6.0	NE37647	Y	DP15
NE67754	DP15-plate1-6.0	NE67754	Y	DP15
NE90535	DP15-plate1-6.0	NE90535	Y	DP15
RA1006	DP15-plate1-6.0	RA1006	Y	DP15
RA1007	DP15-plate1-6.0	RA1007	Y	DP15
TLC715	DP15-plate1-6.0	TLC715	Y	DP15
TLC720	DP15-plate1-6.0	TLC720	Y	DP15
TLC725	DP15-plate1-6.0	TLC725	Y	DP15
TLC726	DP15-plate1-6.0	TLC726	Y	DP15
TLC775	DP15-plate1-6.0	TLC775	Y	DP15
VMA18	DP15-plate1-6.0	VMA18	Y	DP15
VWG14	DP15-plate1-6.0	VWG14	Y	DP15
FDK10	DP15-plate1-6.1	FDK10	Y	DP15
GH1	DP15-plate1-6.1	GH1	Y	DP15
GH2	DP15-plate1-6.1	GH2	Y	DP15
J293	DP15-plate1-6.1	J293	Y	DP15
J294	DP15-plate1-6.1	J294	Y	DP15
J295	DP15-plate1-6.1	J295	Y	DP15
J295-rep	DP15-plate1-6.1	J295	Y	DP15
J296	DP15-plate1-6.1	J296	Y	DP15
J298	DP15-plate1-6.1	J298	Y	DP15
J300	DP15-plate1-6.1	J300	Y	DP15
J301	DP15-plate1-6.1	J301	Y	DP15
J302	DP15-plate1-6.1	J302	Y	DP15
J303	DP15-plate1-6.1	J303	Y	DP15
J304	DP15-plate1-6.1	J304	Y	DP15
J307	DP15-plate1-6.1	J307	Y	DP15
J310	DP15-plate1-6.1	J310	Y	DP15
J311	DP15-plate1-6.1	J311	Y	DP15
J312	DP15-plate1-6.1	J312	Y	DP15
J315	DP15-plate1-6.1	J315	Y	DP15
J316	DP15-plate1-6.1	J316	Y	DP15
J317	DP15-plate1-6.1	J317	Y	DP15
J318	DP15-plate1-6.1	J318	Y	DP15
J319	DP15-plate1-6.1	J319	Y	DP15
J320	DP15-plate1-6.1	J320	Y	DP15
J321g	DP15-plate1-6.1	J321g	Y	DP15
J322	DP15-plate1-6.1	J322	Y	DP15
J324	DP15-plate1-6.1	J324	Y	DP15
J326	DP15-plate1-6.1	J326	Y	DP15
J327	DP15-plate1-6.1	J327	Y	DP15
J328	DP15-plate1-6.1	J328	Y	DP15
J329	DP15-plate1-6.1	J329	Y	DP15
J330	DP15-plate1-6.1	J330	Y	DP15
J331	DP15-plate1-6.1	J331	Y	DP15
J333	DP15-plate1-6.1	J333	Y	DP15
J333_plus	DP15-plate1-6.1	J333	Y	DP15
J333a	DP15-plate1-6.1	J333a	Y	DP15
J334	DP15-plate1-6.1	J334	Y	DP15
J335	DP15-plate1-6.1	J335	Y	DP15
J338	DP15-plate1-6.1	J338	Y	DP15
J339	DP15-plate1-6.1	J339	Y	DP15
J340	DP15-plate1-6.1	J340	Y	DP15
J341	DP15-plate1-6.1	J341	Y	DP15
J341a	DP15-plate1-6.1	J341a	Y	DP15
J341b	DP15-plate1-6.1	J341b	Y	DP15
J341c	DP15-plate1-6.1	J341c	Y	DP15
J341d	DP15-plate1-6.1	J341d	Y	DP15
J342	DP15-plate1-6.1	J342	Y	DP15
J342a	DP15-plate1-6.1	J342a	Y	DP15
J342a-rep	DP15-plate1-6.1	J342a	Y	DP15
J342b	DP15-plate1-6.1	J342b	Y	DP15
J342c	DP15-plate1-6.1	J342c	Y	DP15
J342d	DP15-plate1-6.1	J342d	Y	DP15
J343	DP15-plate1-6.1	J343	Y	DP15
J344	DP15-plate1-6.1	J344	Y	DP15
J345	DP15-plate1-6.1	J345	Y	DP15
J345_plus	DP15-plate1-6.1	J345	Y	DP15
J345a	DP15-plate1-6.1	J345a	Y	DP15
J345d	DP15-plate1-6.1	J345d	Y	DP15
J346	DP15-plate1-6.1	J346	Y	DP15
J347	DP15-plate1-6.1	J347	Y	DP15
J348	DP15-plate1-6.1	J348	Y	DP15
J349	DP15-plate1-6.1	J349	Y	DP15
J349a	DP15-plate1-6.1	J349a	Y	DP15
J349b	DP15-plate1-6.1	J349b	Y	DP15
J349d	DP15-plate1-6.1	J349d	Y	DP15
J349e	DP15-plate1-6.1	J349e	Y	DP15
J349f	DP15-plate1-6.1	J349f	Y	DP15
J349g	DP15-plate1-6.1	J349g	Y	DP15
J349h	DP15-plate1-6.1	J349h	Y	DP15
J349i	DP15-plate1-6.1	J349i	Y	DP15
J349j	DP15-plate1-6.1	J349j	Y	DP15
J350	DP15-plate1-6.1	J350	Y	DP15
J350a	DP15-plate1-6.1	J350a	Y	DP15
J350b	DP15-plate1-6.1	J350b	Y	DP15
J350c	DP15-plate1-6.1	J350c	Y	DP15
J350d	DP15-plate1-6.1	J350d	Y	DP15
J350e	DP15-plate1-6.1	J350e	Y	DP15
J350f	DP15-plate1-6.1	J350f	Y	DP15
J350g	DP15-plate1-6.1	J350g	Y	DP15
J350h	DP15-plate1-6.1	J350h	Y	DP15
J350i	DP15-plate1-6.1	J350i	Y	DP15
J351	DP15-plate1-6.1	J351	Y	DP15
J351_plus	DP15-plate1-6.1	J351	Y	DP15
J352	DP15-plate1-6.1	J352	Y	DP15
J352a	DP15-plate1-6.1	J352a	Y	DP15
J352b	DP15-plate1-6.1	J352b	Y	DP15
J352c	DP15-plate1-6.1	J352c	Y	DP15
J352d	DP15-plate1-6.1	J352d	Y	DP15
J352e	DP15-plate1-6.1	J352e	Y	DP15
J352f	DP15-plate1-6.1	J352f	Y	DP15
J352g	DP15-plate1-6.1	J352g	Y	DP15
J352h	DP15-plate1-6.1	J352h	Y	DP15
J352i	DP15-plate1-6.1	J352i	Y	DP15
J353	DP15-plate1-6.1	J353	Y	DP15
J354	DP15-plate1-6.1	J354	Y	DP15
J355	DP15-plate1-6.1	J355	Y	DP15
J355a	DP15-plate1-6.1	J355a	Y	DP15
J355b	DP15-plate1-6.1	J355b	Y	DP15
J355c	DP15-plate1-6.1	J355c	Y	DP15
J355d	DP15-plate1-6.1	J355d	Y	DP15
J355e	DP15-plate1-6.1	J355e	Y	DP15
J355f	DP15-plate1-6.1	J355f	Y	DP15
J355g	DP15-plate1-6.1	J355g	Y	DP15
J357	DP15-plate1-6.1	J357	Y	DP15
J358	DP15-plate1-6.1	J358	Y	DP15
J359	DP15-plate1-6.1	J359	Y	DP15
J359a	DP15-plate1-6.1	J359a	Y	DP15
J359b	DP15-plate1-6.1	J359b	Y	DP15
J359c	DP15-plate1-6.1	J359c	Y	DP15
J359d	DP15-plate1-6.1	J359d	Y	DP15
J359e	DP15-plate1-6.1	J359e	Y	DP15
J359g	DP15-plate1-6.1	J359g	Y	DP15
J359h	DP15-plate1-6.1	J359h	Y	DP15
J359i	DP15-plate1-6.1	J359i	Y	DP15
J360	DP15-plate1-6.1	J360	Y	DP15
J361	DP15-plate1-6.1	J361	Y	DP15
J361a	DP15-plate1-6.1	J361a	Y	DP15
J361b	DP15-plate1-6.1	J361b	Y	DP15
J361c	DP15-plate1-6.1	J361c	Y	DP15
J361d	DP15-plate1-6.1	J361d	Y	DP15
J361e	DP15-plate1-6.1	J361e	Y	DP15
J361f	DP15-plate1-6.1	J361f	Y	DP15
J361g	DP15-plate1-6.1	J361g	Y	DP15
J361h	DP15-plate1-6.1	J361h	Y	DP15
J361i	DP15-plate1-6.1	J361i	Y	DP15
J362	DP15-plate1-6.1	J362	Y	DP15
J362_young	DP15-plate1-6.1	J362	Y	DP15
J362a	DP15-plate1-6.1	J362a	Y	DP15
J362b	DP15-plate1-6.1	J362b	Y	DP15
J363	DP15-plate1-6.1	J363	Y	DP15
J363_plus	DP15-plate1-6.1	J363	Y	DP15
J364	DP15-plate1-6.1	J364	Y	DP15
J365	DP15-plate1-6.1	J365	Y	DP15
J366	DP15-plate1-6.1	J366	Y	DP15
J366_plus	DP15-plate1-6.1	J366	Y	DP15
J367	DP15-plate1-6.1	J367	Y	DP15
J367a	DP15-plate1-6.1	J367a	Y	DP15
J367b	DP15-plate1-6.1	J367b	Y	DP15
J367c	DP15-plate1-6.1	J367c	Y	DP15
J367d	DP15-plate1-6.1	J367d	Y	DP15
J367e	DP15-plate1-6.1	J367e	Y	DP15
J367f	DP15-plate1-6.1	J367f	Y	DP15
J367g	DP15-plate1-6.1	J367g	Y	DP15
J367h	DP15-plate1-6.1	J367h	Y	DP15
J367i	DP15-plate1-6.1	J367i	Y	DP15
J368	DP15-plate1-6.1	J368	Y	DP15
J369	DP15-plate1-6.1	J369	Y	DP15
J370	DP15-plate1-6.1	J370	Y	DP15
J371	DP15-plate1-6.1	J371	Y	DP15
J372	DP15-plate1-6.1	J372	Y	DP15
J373	DP15-plate1-6.1	J373	Y	DP15
J374	DP15-plate1-6.1	J374	Y	DP15
J374a	DP15-plate1-6.1	J374a	Y	DP15
J374b	DP15-plate1-6.1	J374b	Y	DP15
J374c	DP15-plate1-6.1	J374c	Y	DP15
J374d	DP15-plate1-6.1	J374d	Y	DP15
J374e	DP15-plate1-6.1	J374e	Y	DP15
J374f	DP15-plate1-6.1	J374f	Y	DP15
J374g	DP15-plate1-6.1	J374g	Y	DP15
J374h	DP15-plate1-6.1	J374h	Y	DP15
J374i	DP15-plate1-6.1	J374i	Y	DP15
J375	DP15-plate1-6.1	J375	Y	DP15
J375-rep1	DP15-plate1-6.1	J375	Y	DP15
J376	DP15-plate1-6.1	J376	Y	DP15
J376a	DP15-plate1-6.1	J376a	Y	DP15
J376a-rep	DP15-plate1-6.1	J376a	Y	DP15
J376b	DP15-plate1-6.1	J376b	Y	DP15
J376c	DP15-plate1-6.1	J376c	Y	DP15
J376d	DP15-plate1-6.1	J376d	Y	DP15
J376e	DP15-plate1-6.1	J376e	Y	DP15
J376f	DP15-plate1-6.1	J376f	Y	DP15
J376g	DP15-plate1-6.1	J376g	Y	DP15
J376h	DP15-plate1-6.1	J376h	Y	DP15
J376i	DP15-plate1-6.1	J376i	Y	DP15
J377	DP15-plate1-6.1	J377	Y	DP15
J377a	DP15-plate1-6.1	J377a	Y	DP15
J377b	DP15-plate1-6.1	J377b	Y	DP15
J377c	DP15-plate1-6.1	J377c	Y	DP15
J377d	DP15-plate1-6.1	J377d	Y	DP15
J377e-rep	DP15-plate1-6.1	J377e	Y	DP15
J377e	DP15-plate1-6.1	J377e	Y	DP15
J377g	DP15-plate1-6.1	J377g	Y	DP15
J377h	DP15-plate1-6.1	J377h	Y	DP15
J377i	DP15-plate1-6.1	J377i	Y	DP15
J379	DP15-plate1-6.1	J379	Y	DP15
J381	DP15-plate1-6.1	J381	Y	DP15
J382a	DP15-plate1-6.1	J382a	Y	DP15
J382b	DP15-plate1-6.1	J382b	Y	DP15
J382c	DP15-plate1-6.1	J382c	Y	DP15
J382d	DP15-plate1-6.1	J382d	Y	DP15
J382e	DP15-plate1-6.1	J382e	Y	DP15
J382f	DP15-plate1-6.1	J382f	Y	DP15
J382g	DP15-plate1-6.1	J382g	Y	DP15
J382h	DP15-plate1-6.1	J382h	Y	DP15
J382i	DP15-plate1-6.1	J382i	Y	DP15
J383	DP15-plate1-6.1	J383	Y	DP15
J385	DP15-plate1-6.1	J385	Y	DP15
J385-rep	DP15-plate1-6.1	J385	Y	DP15
J385a	DP15-plate1-6.1	J385a	Y	DP15
J385b	DP15-plate1-6.1	J385b	Y	DP15
J385c	DP15-plate1-6.1	J385c	Y	DP15
J385d	DP15-plate1-6.1	J385d	Y	DP15
J385e	DP15-plate1-6.1	J385e	Y	DP15
J385f	DP15-plate1-6.1	J385f	Y	DP15
J385g	DP15-plate1-6.1	J385g	Y	DP15
J385h	DP15-plate1-6.1	J385h	Y	DP15
J385i	DP15-plate1-6.1	J385i	Y	DP15
J386	DP15-plate1-6.1	J386	Y	DP15
J386a	DP15-plate1-6.1	J386a	Y	DP15
J386b	DP15-plate1-6.1	J386b	Y	DP15
J386c	DP15-plate1-6.1	J386c	Y	DP15
J386d	DP15-plate1-6.1	J386d	Y	DP15
J386e	DP15-plate1-6.1	J386e	Y	DP15
J386f	DP15-plate1-6.1	J386f	Y	DP15
J386g	DP15-plate1-6.1	J386g	Y	DP15
J386h	DP15-plate1-6.1	J386h	Y	DP15
J386i	DP15-plate1-6.1	J386i	Y	DP15
J387	DP15-plate1-6.1	J387	Y	DP15
J387a	DP15-plate1-6.1	J387a	Y	DP15
J387b	DP15-plate1-6.1	J387b	Y	DP15
J387c	DP15-plate1-6.1	J387c	Y	DP15
J387d	DP15-plate1-6.1	J387d	Y	DP15
J387e	DP15-plate1-6.1	J387e	Y	DP15
J387f	DP15-plate1-6.1	J387f	Y	DP15
J387g	DP15-plate1-6.1	J387g	Y	DP15
J387h	DP15-plate1-6.1	J387h	Y	DP15
J387i	DP15-plate1-6.1	J387i	Y	DP15
J388	DP15-plate1-6.1	J388	Y	DP15
J388a	DP15-plate1-6.1	J388a	Y	DP15
J388b	DP15-plate1-6.1	J388b	Y	DP15
J388c	DP15-plate1-6.1	J388c	Y	DP15
J388d	DP15-plate1-6.1	J388d	Y	DP15
J388e	DP15-plate1-6.1	J388e	Y	DP15
J388f	DP15-plate1-6.1	J388f	Y	DP15
J388g	DP15-plate1-6.1	J388g	Y	DP15
J388h	DP15-plate1-6.1	J388h	Y	DP15
J388i	DP15-plate1-6.1	J388i	Y	DP15
J389	DP15-plate1-6.1	J389	Y	DP15
J390	DP15-plate1-6.1	J390	Y	DP15
J390a	DP15-plate1-6.1	J390a	Y	DP15
J390a-rep	DP15-plate1-6.1	J390a	Y	DP15
J390b	DP15-plate1-6.1	J390b	Y	DP15
J392	DP15-plate1-6.1	J392	Y	DP15
J393	DP15-plate1-6.1	J393	Y	DP15
J393a	DP15-plate1-6.1	J393a	Y	DP15
J393b	DP15-plate1-6.1	J393b	Y	DP15
J393c	DP15-plate1-6.1	J393c	Y	DP15
J393d	DP15-plate1-6.1	J393d	Y	DP15
J393e	DP15-plate1-6.1	J393e	Y	DP15
J393f	DP15-plate1-6.1	J393f	Y	DP15
J393g	DP15-plate1-6.1	J393g	Y	DP15
J393h	DP15-plate1-6.1	J393h	Y	DP15
J393i	DP15-plate1-6.1	J393i	Y	DP15
J394	DP15-plate1-6.1	J394	Y	DP15
J394a	DP15-plate1-6.1	J394a	Y	DP15
J394b	DP15-plate1-6.1	J394b	Y	DP15
J394c	DP15-plate1-6.1	J394c	Y	DP15
J394d	DP15-plate1-6.1	J394d	Y	DP15
J394e	DP15-plate1-6.1	J394e	Y	DP15
J394f	DP15-plate1-6.1	J394f	Y	DP15
J394g	DP15-plate1-6.1	J394g	Y	DP15
J395	DP15-plate1-6.1	J395	Y	DP15
J395A	DP15-plate1-6.1	J395a	Y	DP15
J395B	DP15-plate1-6.1	J395b	Y	DP15
J395C	DP15-plate1-6.1	J395c	Y	DP15
J395D	DP15-plate1-6.1	J395d	Y	DP15
J395E	DP15-plate1-6.1	J395e	Y	DP15
J395H	DP15-plate1-6.1	J395h	Y	DP15
J397	DP15-plate1-6.1	J397	Y	DP15
J398	DP15-plate1-6.1	J398	Y	DP15
J399	DP15-plate1-6.1	J399	Y	DP15
J400	DP15-plate1-6.1	J400	Y	DP15
J401	DP15-plate1-6.1	J401	Y	DP15
J401a	DP15-plate1-6.1	J401a	Y	DP15
J401b	DP15-plate1-6.1	J401b	Y	DP15
J401c	DP15-plate1-6.1	J401c	Y	DP15
J401d	DP15-plate1-6.1	J401d	Y	DP15
J401e	DP15-plate1-6.1	J401e	Y	DP15
J401f	DP15-plate1-6.1	J401f	Y	DP15
J401g	DP15-plate1-6.1	J401g	Y	DP15
J401h	DP15-plate1-6.1	J401h	Y	DP15
J402	DP15-plate1-6.1	J402	Y	DP15
J403	DP15-plate1-6.1	J403	Y	DP15
J404	DP15-plate1-6.1	J404	Y	DP15
J405	DP15-plate1-6.1	J405	Y	DP15
J405a	DP15-plate1-6.1	J405a	Y	DP15
J405b	DP15-plate1-6.1	J405b	Y	DP15
J405c	DP15-plate1-6.1	J405c	Y	DP15
J405d	DP15-plate1-6.1	J405d	Y	DP15
J405e	DP15-plate1-6.1	J405e	Y	DP15
J405f	DP15-plate1-6.1	J405f	Y	DP15
J405g	DP15-plate1-6.1	J405g	Y	DP15
J405h	DP15-plate1-6.1	J405h	Y	DP15
J405i	DP15-plate1-6.1	J405i	Y	DP15
J406	DP15-plate1-6.1	J406	Y	DP15
J406a	DP15-plate1-6.1	J406a	Y	DP15
J406b	DP15-plate1-6.1	J406b	Y	DP15
J406c	DP15-plate1-6.1	J406c	Y	DP15
J406d	DP15-plate1-6.1	J406d	Y	DP15
J406e	DP15-plate1-6.1	J406e	Y	DP15
J406f	DP15-plate1-6.1	J406f	Y	DP15
J406g	DP15-plate1-6.1	J406g	Y	DP15
J406h	DP15-plate1-6.1	J406h	Y	DP15
J406i	DP15-plate1-6.1	J406i	Y	DP15
J407	DP15-plate1-6.1	J407	Y	DP15
J408	DP15-plate1-6.1	J408	Y	DP15
J411	DP15-plate1-6.1	J411	Y	DP15
J412	DP15-plate1-6.1	J412	Y	DP15
J413	DP15-plate1-6.1	J413	Y	DP15
J413a	DP15-plate1-6.1	J413a	Y	DP15
J413c	DP15-plate1-6.1	J413c	Y	DP15
J413f	DP15-plate1-6.1	J413f	Y	DP15
J414	DP15-plate1-6.1	J414	Y	DP15
J414a	DP15-plate1-6.1	J414a	Y	DP15
J414b	DP15-plate1-6.1	J414b	Y	DP15
J414c	DP15-plate1-6.1	J414c	Y	DP15
J416	DP15-plate1-6.1	J416	Y	DP15
J416a	DP15-plate1-6.1	J416a	Y	DP15
J416b	DP15-plate1-6.1	J416b	Y	DP15
J416c	DP15-plate1-6.1	J416c	Y	DP15
J416d	DP15-plate1-6.1	J416d	Y	DP15
J416e	DP15-plate1-6.1	J416e	Y	DP15
J416f	DP15-plate1-6.1	J416f	Y	DP15
J416g	DP15-plate1-6.1	J416g	Y	DP15
J416h	DP15-plate1-6.1	J416h	Y	DP15
J416i	DP15-plate1-6.1	J416i	Y	DP15
J417	DP15-plate1-6.1	J417	Y	DP15
J418	DP15-plate1-6.1	J418	Y	DP15
J418a	DP15-plate1-6.1	J418a	Y	DP15
J418b	DP15-plate1-6.1	J418b	Y	DP15
J418c	DP15-plate1-6.1	J418c	Y	DP15
J418e	DP15-plate1-6.1	J418e	Y	DP15
J418g	DP15-plate1-6.1	J418g	Y	DP15
J418h	DP15-plate1-6.1	J418h	Y	DP15
J418i	DP15-plate1-6.1	J418i	Y	DP15
J419	DP15-plate1-6.1	J419	Y	DP15
J419a	DP15-plate1-6.1	J419a	Y	DP15
J419b	DP15-plate1-6.1	J419b	Y	DP15
J419c	DP15-plate1-6.1	J419c	Y	DP15
J419d	DP15-plate1-6.1	J419d	Y	DP15
J419e	DP15-plate1-6.1	J419e	Y	DP15
J419f	DP15-plate1-6.1	J419f	Y	DP15
J419g	DP15-plate1-6.1	J419g	Y	DP15
J419h	DP15-plate1-6.1	J419h	Y	DP15
J419i	DP15-plate1-6.1	J419i	Y	DP15
J420	DP15-plate1-6.1	J420	Y	DP15
J421	DP15-plate1-6.1	J421	Y	DP15
J421b	DP15-plate1-6.1	J421b	Y	DP15
J422	DP15-plate1-6.1	J422	Y	DP15
J422a	DP15-plate1-6.1	J422a	Y	DP15
J422c	DP15-plate1-6.1	J422c	Y	DP15
J422e-rep	DP15-plate1-6.1	J422e	Y	DP15
J422e	DP15-plate1-6.1	J422e	Y	DP15
J422f	DP15-plate1-6.1	J422f	Y	DP15
J422g	DP15-plate1-6.1	J422g	Y	DP15
J423	DP15-plate1-6.1	J423	Y	DP15
J424	DP15-plate1-6.1	J424	Y	DP15
J424a	DP15-plate1-6.1	J424a	Y	DP15
J424b	DP15-plate1-6.1	J424b	Y	DP15
J424c	DP15-plate1-6.1	J424c	Y	DP15
J424d	DP15-plate1-6.1	J424d	Y	DP15
J424e	DP15-plate1-6.1	J424e	Y	DP15
J424f	DP15-plate1-6.1	J424f	Y	DP15
J424g	DP15-plate1-6.1	J424g	Y	DP15
J425	DP15-plate1-6.1	J425	Y	DP15
J425a	DP15-plate1-6.1	J425a	Y	DP15
J425b	DP15-plate1-6.1	J425b	Y	DP15
J425c	DP15-plate1-6.1	J425c	Y	DP15
J425d	DP15-plate1-6.1	J425d	Y	DP15
J425e	DP15-plate1-6.1	J425e	Y	DP15
J425f	DP15-plate1-6.1	J425f	Y	DP15
J425g	DP15-plate1-6.1	J425g	Y	DP15
J425h	DP15-plate1-6.1	J425h	Y	DP15
J425i	DP15-plate1-6.1	J425i	Y	DP15
J426	DP15-plate1-6.1	J426	Y	DP15
J426a	DP15-plate1-6.1	J426a	Y	DP15
J426b	DP15-plate1-6.1	J426b	Y	DP15
J426c	DP15-plate1-6.1	J426c	Y	DP15
J426d	DP15-plate1-6.1	J426d	Y	DP15
J426f	DP15-plate1-6.1	J426f	Y	DP15
J426g	DP15-plate1-6.1	J426g	Y	DP15
J426h	DP15-plate1-6.1	J426h	Y	DP15
J426i	DP15-plate1-6.1	J426i	Y	DP15
J427	DP15-plate1-6.1	J427	Y	DP15
J427a	DP15-plate1-6.1	J427a	Y	DP15
J428	DP15-plate1-6.1	J428	Y	DP15
J428a	DP15-plate1-6.1	J428a	Y	DP15
J428b	DP15-plate1-6.1	J428b	Y	DP15
J428c	DP15-plate1-6.1	J428c	Y	DP15
J428d	DP15-plate1-6.1	J428d	Y	DP15
J428e	DP15-plate1-6.1	J428e	Y	DP15
J428f	DP15-plate1-6.1	J428f	Y	DP15
J428g	DP15-plate1-6.1	J428g	Y	DP15
