SampleID,Species,Latitude,Longitude,Altitude_m,Datum,Date,Seed,Collectors,Location,Comments,Trip_comments,Reads,Theoretical_coverage
CCA0704,Eucalyptus melliodora,-32.71222222,149.9661111,NA,WGS84,NA,NA,NA,NSW,NA,NA,86198801,19.45993665
EMW0001,Eucalyptus melliodora,-36.18417333,150.0986026,121.3435516,WGS84,2019-01-20T20:04:01Z,Y,Helen Bothwell & Susan Rutherford,Wombeyan Cave Rd.,,,122681326,26.9908096
EMW0002,Eucalyptus melliodora,-34.29426229,150.0163724,163.0970959,WGS84,2019-01-20T20:57:36Z,Y,Helen Bothwell & Susan Rutherford,Wombeyan Cave Rd.,,,105425513,23.04239942
EMW0003,Eucalyptus melliodora,-34.2938706,150.0160115,169.7630332,WGS84,2019-01-20T21:27:50Z,Y,Helen Bothwell & Susan Rutherford,Wombeyan Cave Rd.,,,121443883,26.73404361
EMW0004,Eucalyptus melliodora,-34.30037412,150.0047701,193.350133,WGS84,2019-01-20T22:08:09Z,Y,Helen Bothwell & Susan Rutherford,Wombeyan Cave Rd.,,,46966287,10.31157354
EMW0005,Eucalyptus melliodora,-34.30002065,150.0023791,198.5510064,WGS84,2019-01-20T22:25:27Z,Y,Helen Bothwell & Susan Rutherford,Wombeyan Cave Rd.,Has lots of galls - haven't seen galls on other trees in this area,,39786628,8.539218942
EMW0006,Eucalyptus melliodora,-34.31277473,150.0875892,82.37350211,WGS84,2019-01-20T23:33:00Z,Y,Helen Bothwell & Susan Rutherford,Wombeyan Cave Rd.,,,59579563,13.08462219
ENE0014,Eucalyptus melliodora,-29.84946,152.00108,NA,WGS84,2017-11-22T00:00:00Z,NA,NA,HRF1,NA,NA,92614752,19.55345102
ENE0026,Eucalyptus melliodora,-30.51734,151.97252,NA,WGS84,2017-11-24T00:00:00Z,NA,NA,Waterfall Way 2,NA,NA,106207474,22.50033632
GOL0001,Eucalyptus melliodora,-35.20836473,149.2588769,647.088135,WGS84,2019-03-19T17:22:22Z,N,Helen Bothwell & Kevin Murray,"S from M23 to Sutton Rd., then dirt rd. W",,,38578836,8.468301066
GOL0002,Eucalyptus melliodora,-35.24763865,149.2807351,792.967285,WGS84,2019-03-19T17:47:09Z,N,Helen Bothwell & Kevin Murray,"S on Sutton Rd., E on Norton Rd, N on Fernloff","Big, old tree; sampled resprout from base of trunk",,49039518,10.50110964
GOL0003,Eucalyptus melliodora,-35.28911448,149.4522442,738.412842,WGS84,2019-03-19T18:58:39Z,Y,Helen Bothwell & Kevin Murray,S out of Bungendore on Gidleigh Lane,"VERY fecund tree; many low branches, easy to sample",,59402184,13.06113801
GOL0004,Eucalyptus melliodora,-35.29944534,149.4607546,749.708008,WGS84,2019-03-19T19:22:07Z,Y,Helen Bothwell & Kevin Murray,Continueing S on Gidleigh Ln,"Some seed, but all green, looks like this years not yet matured",,72347489,15.85419252
GOL0005,Eucalyptus melliodora,-35.31586063,149.4957254,807.867432,WGS84,2019-03-19T20:00:03Z,Y,Helen Bothwell & Kevin Murray,Continueing S on Gidleigh Ln,"Few seed, but all green, looks like this years not yet matured",,57486998,12.41262711
GOL0006,Eucalyptus melliodora,-35.59996331,149.8112832,631.226807,WGS84,2019-03-19T22:49:11Z,N,Helen Bothwell & Kevin Murray,"Sawyer's Ridge Rd, E of Araluen Rd. S of Braidwood","Higher elevation, few Emel, lots of E. viminalis and Angophora that could be hybridizing w/ these",,71310349,15.59107053
GOL0007,Eucalyptus melliodora,-35.60009432,149.8113898,630.265381,WGS84,2019-03-19T22:50:12Z,N,Helen Bothwell & Kevin Murray,"Sawyer's Ridge Rd, E of Araluen Rd. S of Braidwood","Only ~10m from GOL0006; looks pretty reliable, but not totally sure it's E. mel; resprouted from v. old stump; lots of Angophora and ribbon gum that may be hybridizing w/ these two",,54917356,12.0488003
GOL0008,Eucalyptus melliodora,-35.6729831,149.8309023,158.501953,WGS84,2019-03-19T23:39:30Z,Y,Helen Bothwell & Kevin Murray,Araluen Rd,"Two trunks, one w/ very Emel leaves (broader), the other trunk with thinner, narrower leaves - could be different ontogeny",,58693940,12.84256509
GOL0009,Eucalyptus melliodora,-35.68992904,149.8492569,146.485474,WGS84,2019-03-20T00:00:55Z,N,Helen Bothwell & Kevin Murray,Araluen Rd,"Big, old tree, leaves a bit long & bark a bit pealy, but probably a good Emel, leaves nicely glaucous; lots of ribbonbark in area",,42186017,9.155553656
GOL0010,Eucalyptus melliodora,-35.34229933,149.8506001,696.836182,WGS84,2019-03-27T10:18:07Z,N,Helen Bothwell,"N out of Braidwood on Nerriga Rd., then W on Brightside Rd. (dirt)",Seed too green or too old (already released),"E. melliodora quite rare on this trip, perhaps due to being on far eastern edge of their range, but also mass ag clearing associated with their valley/lower elevation open woodland habitat; E. viminalis very common, also lots of red gum and snow gum, some E. bridgesiana, what I think is likely E. fastigata, and E. polyanthemos, E. blakelyi, etc.",57701555,12.49331777
GOL0011,Eucalyptus melliodora,-35.34337733,149.8529949,707.4104,WGS84,2019-03-27T10:34:12Z,Y,Helen Bothwell,"N out of Braidwood on Nerriga Rd., then W on Brightside Rd. (dirt)","*Seeds may be a bit too young. Bark looks perfect Emel; seeds have 6 valves instead of the typical 5; ~100m from #10, but had seeds so collected",,54093995,11.92609871
GOL0012,Eucalyptus melliodora,-35.3077793,149.8785983,630.746094,WGS84,2019-03-27T11:18:19Z,Y,Helen Bothwell,"Nerriga Rd., large grassy pull-off on left side","*Seeds green; mid-younger tree; seeds really easy to reach and TONS of them, could come back when matured",,67521192,14.84866785
GOL0013,Eucalyptus melliodora,-35.0883332,150.1207641,560.329834,WGS84,2019-03-27T12:46:20Z,N,Helen Bothwell,"End of Nerriga Rd before entering Morton National Park; pull in entrance between two chainlink fences, small pullout just past the entrance on the right",,,58705103,12.74630677
GOL0014,Eucalyptus melliodora,-35.09359863,150.1175408,589.649902,WGS84,2019-03-27T12:54:38Z,N,Helen Bothwell,Pulloff on east side of Nerriga Rd. heading back S,"Collected a single seed, simply verifying taxonomy - typical Emel 5-valved",,58519333,12.8941308
GOL0015,Eucalyptus melliodora,-35.11480426,149.9193022,628.102539,WGS84,2019-03-27T14:12:28Z,N,Helen Bothwell,"Oallen Ford Rd west, then turn rt. on Jerralong Rd; tree just about 8 meters from intersection",,,58412575,12.83068421
GOL0016,Eucalyptus melliodora,-35.0892744,149.9074582,585.804688,WGS84,2019-03-27T14:40:32Z,N,Helen Bothwell,Worton Rd. (?) off Oallen Ford Rd.,"Young tree, didn't look reproductively mature",,55677858,12.23934259
GOL0017,Eucalyptus melliodora,-35.064829,149.8654812,596.37915,WGS84,2019-03-27T15:11:16Z,N,Helen Bothwell,Pulloff on W side of Oalla Ford Rd.,,,52788025,11.60895087
GOL0018,Eucalyptus melliodora,-35.08290416,149.8458555,605.27124,WGS84,2019-03-27T15:33:37Z,Y,Helen Bothwell,"Sandy Pt. rd W of Oalla Ford Rd., pulloff on N side of the rd.","Great seed tree! And seeds looked mature, nicely dried; collected a LOT.",,62985645,13.61168485
GOL0019,Eucalyptus melliodora,-35.0929072,149.8306888,633.14917,WGS84,2019-03-27T16:04:46Z,Y,Helen Bothwell,Continue W on Sandy Point Rd.,"Seeds nicely dried, look really good; some leaves longer and narrower than other Emel in area, but also many smaller, typicaly obovate young growth; old, gnarled tree; lots of aphids and ants on stems, fought them for the seeds",,74874444,16.46479035
GOL0020,Eucalyptus melliodora,-35.11568679,149.8138964,630.265381,WGS84,2019-03-27T16:25:36Z,N,Helen Bothwell,"Continuing W down Sandy Point Rd. after it turns to dirt, past turn to Willow Glen Rd.",Young tree next to older E. mel; ,,73121002,16.03612134
GOL0021,Eucalyptus melliodora,-35.10303673,149.8190508,631.226807,WGS84,2019-03-27T16:38:38Z,N,Helen Bothwell,"Continuing W down Sandy Point Rd. after it turns to dirt, past turn to Willow Glen Rd.","Great dirt road, v. little traffic and seems prime E. mel area; likely more down this road if we want to collect more in this area",,70413656,15.15729862
GOL0022,Eucalyptus melliodora,-34.96374845,149.8216151,655.73999,WGS84,2019-04-01T11:32:18Z,N,Helen Bothwell,"N to Tarago, Cullala Rd east, then N on Lumley Rd.","Small shoot off a big, old tree",,67207355,14.732201
GOL0023,Eucalyptus melliodora,-34.95464193,149.8286439,643.24292,WGS84,2019-04-01T11:40:51Z,Y,Helen Bothwell,Continuing NE on Lumley Rd.,"Good seed tree; big, old; quite a bit of what I think is E. polyanthemous in this area",,61574454,13.50375837
GOL0024,Eucalyptus melliodora,-34.91414376,149.8963593,641.801025,WGS84,2019-04-01T12:26:36Z,N,Helen Bothwell,Continuing NE on Lumley Rd.,"Big, old tree; possible hybrid?, leaves see greener and maybe a bit pointier than usual E. mel??",,45039014,9.551703037
GOL0025,Eucalyptus melliodora,-34.90062333,149.9203847,635.55249,WGS84,2019-04-01T12:52:41Z,Y,Helen Bothwell,Continuing NE on Lumley Rd.,"LOTS of seed, but not confident in identity; think this is a different box; good box bark, but leaves longer, greener, seeds w/ 5 valves but larger than typical E. mel, umbels longer and not typically in 7, yes in leaf axial; some leaves quite broad like E. polyanthemous, but also many narrow so not E.poly; some upper bark pealing a little almost a bit ribbon-like",,50798288,11.07231777
GOL0026,Eucalyptus melliodora,-34.85496668,149.9551925,599.503418,WGS84,2019-04-01T13:55:19Z,Y,Helen Bothwell,Howick St. E out of Bungonia towards Bungonia Nat'l Park,Hybrid?? Seeds maybe larger than typical E. mel; leaves longer/thinner?; but 5-valved fruits and 7 umbeld axilary and terminal floral clusters; good recessed leaf margins,,45412580,9.922736789
GOL0027,Eucalyptus melliodora,-34.85478479,149.9550694,598.301758,WGS84,2019-04-01T14:20:38Z,N,Helen Bothwell,Right across the road from GOL0026,"Confident this is a good E.mel!; blue-gray glaucous leaves, younger ones ovate, axilary umbels, perfect bark, boxy below and gray-yellow streaked above",,59336718,13.13193078
GOL0028,Eucalyptus melliodora,-34.84301266,149.9758547,574.98999,WGS84,2019-04-01T14:39:12Z,Y,Helen Bothwell,Along Howick St.,"Few seeds; mid-aged next to big, old E.mel in field but over fence; valves mostly 4 but some 5; leaves right size, shape, and glaucous",,75706162,16.74719871
GOL0029,Eucalyptus melliodora,-34.85567085,149.9485649,585.08374,WGS84,2019-04-01T14:53:43Z,Y,Helen Bothwell,Pullout on S side of Howick St.,"TONS of good looking, mature seed; 5-valved; 100% Emel; big, old tree overhanging rd; perfect glaucous, ovate young and smaller elongated mature leaves w/ recessed margins",,38668567,8.450609474
GOL0030,Eucalyptus melliodora,-34.82950808,149.9507709,590.37085,WGS84,2019-04-01T15:25:17Z,N,Helen Bothwell,E side of Jerrara Rd. N out of Bungonia,Young to mid-aged,,69137244,15.21237428
GOL0031,Eucalyptus melliodora,-34.8086674,149.953166,598.061523,WGS84,2019-04-01T15:38:26Z,N,Helen Bothwell,Continuing N on Jerrara,Good E.mel,,72878680,16.09327287
GOL0032,Eucalyptus melliodora,-34.77803011,149.9807995,646.126953,WGS84,2019-04-01T16:01:19Z,N,Helen Bothwell,Glynmar Rd. E off Jerrara Rd.,Leaves nicely glaucous and shaped,,78231439,17.26281531
GOL0033,Eucalyptus melliodora,-34.77781638,149.9758829,642.04126,WGS84,2019-04-01T16:12:51Z,Y,Helen Bothwell,Glynmar Rd. E off Jerrara Rd.,TONS of seed,,48453108,10.68400272
GOL0034,Eucalyptus melliodora,-34.77297993,149.964274,627.861816,WGS84,2019-04-01T16:30:00Z,Y,Helen Bothwell,"N on Jerrara Rd, pulloff on W side",TONS of seed,,32721589,7.095346674
GOL0035,Eucalyptus melliodora,-36.23574081,149.12084,831.419678,WGS84,2019-04-03T11:55:29Z,Y,Helen Bothwell,"B23 to B72 then N on Creek St., rt. Uphill on Massie St., tree ~15m inside gate of Nanny Goat Hill Reserve & Outlook on left","Seed 5-valved, good box bark, young, recessed margin glaucous juvenile leaves and smaller, narrower mature leaves. Possibly planted ?? No other Emael for miles, but could be last remnant in ag desert. Ribbonbark (E. viminalis?) v. common, also E. pauciflora, perhaps a bit high elevation for Emel.","Drove S to Cooma; numerous Emel until ~30k N of Cooma, then nearly all valley bottom cleared for ag/grazing",63835731,14.07043291
GOL0036,Eucalyptus melliodora,-35.85174596,149.1861647,829.49707,WGS84,2019-04-03T13:42:11Z,N,Helen Bothwell,Paveys Rd E off Monaro Hwy (B23),Perfect Emel leaves,,85570633,18.78097277
GOL0037,Eucalyptus melliodora,-35.85356534,149.1830405,850.165039,WGS84,2019-04-03T13:56:07Z,Y,Helen Bothwell,"Close to GOL0036, but has seed","Good seed tree, 5-valved, typical leaves & bark",,52034970,11.27829586
GOL0038,Eucalyptus melliodora,-35.84869579,149.1754083,807.386719,WGS84,2019-04-03T14:18:59Z,Y,Helen Bothwell,Paveys Rd up hill in field N of road,"Lots of good seed, typical leaves, beautiful huge old tree. Lots of Emel through here now, also E.viminalis and E.bridgisiana",,65189069,14.33932645
GOL0039,Eucalyptus melliodora,-35.78823058,149.1674645,808.10791,WGS84,2019-04-03T14:38:11Z,Y,Helen Bothwell,E on Ryrie Hill Rd.,"Good seed and leaves, big old tree",,61572721,13.47581154
GOL0040,Eucalyptus melliodora,-35.78673123,149.1813752,865.305908,WGS84,2019-04-03T14:56:01Z,Y,Helen Bothwell,E on Ryrie Hill Rd.,"Good seed and leaves, big old tree",,50238240,11.00267117
GOL0041,Eucalyptus melliodora,-35.79441877,149.1830167,876.120605,WGS84,2019-04-03T15:20:34Z,Y,Helen Bothwell,E on Ryrie Hill Rd.,Seed a bit young/green,,52270793,11.47765852
GOL0056,Eucalyptus melliodora,-34.88100406,149.6216107,701.162109,WGS84,2019-07-04T13:25:39Z,N,Helen Bothwell,Turn SW down Currawang Rd,,,74196877,15.75887401
GOL0057,Eucalyptus melliodora,-34.77965897,149.6830312,690.827637,WGS84,2019-07-04T13:55:16Z,Y,Helen Bothwell,"Just S of M31 exit for Goulburn, go SW down Mazamet Rd, only a few seeds, 5-valved","Got a few seeds, but not many, 5-valved",,100669858,22.18328494
GOL0058,Eucalyptus melliodora,-34.5565892,149.5649045,868.430176,WGS84,2019-07-04T15:50:46Z,N,Helen Bothwell,"NW out of Goulburn on Crookwell Rd, turn W down Pejar Rd","LOTS of Emel along here, but main road and not many good places to stop; Pejar is a great little dirt rd; no seed - tree looks pretty rough",,95621697,21.0233744
GOL0059,Eucalyptus melliodora,-34.62917958,149.5234976,751.630615,WGS84,2019-07-04T16:40:24Z,Y,Helen Bothwell,"Pejar Rd then S on Range Rd towards Goulburn, good quiet country rd,","Towards Crookwell seemed to get higher elevation, more bridgisiana and other peppermint-like bark, no Emel; GREAT seed tree, 7 umbels, 5-6 valved fruits",,80076517,17.28210736
GOL0060,Eucalyptus melliodora,-34.67122455,149.5781598,768.694092,WGS84,2019-07-04T17:05:36Z,N,Helen Bothwell,Thompsons Lane E off Range Rd,Lots of blakeleyii and polyanthemos now,,91347788,20.03995526
J296,Eucalyptus melliodora,-30.65167,150.87812,NA,WGS84,2015-09-29T00:00:00Z,NA,NA,"Namoi River, Dunmore Rd",NA,NA,112646501,24.53317411
J298+N41J1A2:M75,Eucalyptus sideroxylon,-30.15277,151.07437,NA,WGS84,2015-09-29T00:00:00Z,NA,NA,"Bundarra, Thunderbolts Way",NA,NA,167212801,35.94672465
J300,Eucalyptus sideroxylon,-29.80812,150.91918,NA,WGS84,2015-09-30T00:00:00Z,NA,NA,"Gum Flat, Copeton Dam Rd",NA,NA,16677219,3.645087092
J312,Eucalyptus sideroxylon,-30.60224,149.58173,NA,WGS84,2015-09-30T00:00:00Z,NA,NA,"Pilliga, Newell Hwy",NA,NA,25269358,5.631698069
J318,Eucalyptus melliodora,-31.37365,151.13779,NA,WGS84,2015-10-11T00:00:00Z,NA,NA,"Chaffey Dam, Tamworth Nundle Rd",NA,NA,177730686,38.5019938
J319,Eucalyptus melliodora,-31.55948,151.05664,NA,WGS84,2015-10-11T00:00:00Z,NA,NA,"Nundle, Crawney Rd",NA,NA,116678401,25.45630731
J340,Eucalyptus melliodora,-29.45577,151.55405,NA,WGS84,2015-11-05T00:00:00Z,NA,NA,"Emmaville, Strathbogie Rd",NA,NA,130995184,28.20268097
J342,Eucalyptus sideroxylon,-29.39087,151.39279,NA,WGS84,2015-11-05T00:00:00Z,NA,NA,"Yellow Dam, Emmaville Rd",NA,NA,279905208,61.0769255
J346,Eucalyptus melliodora,-35.06954,148.83661,NA,WGS84,2015-11-20T00:00:00Z,NA,NA,"Mullion, Mountain Creek Rd.",NA,NA,154546896,33.15345814
J352,Eucalyptus sideroxylon,-35.25665,147.68486,NA,WGS84,2015-11-20T00:00:00Z,NA,NA,"Tarcutta, Mates Gully Rd.",NA,NA,87606069,19.00911584
J355,Eucalyptus sideroxylon,-36.09264,146.61917,NA,WGS84,2015-11-21T00:00:00Z,NA,NA,"Chiltern, Chiltern-Howlong Rd.",NA,NA,166966829,36.46317333
J357,Eucalyptus melliodora,-36.019,146.29446,NA,WGS84,2015-11-21T00:00:00Z,NA,NA,"Collendina State Forest, Spring Dr.",NA,NA,149102582,32.37036847
J358,Eucalyptus melliodora,-35.38973,146.35303,NA,WGS84,2015-11-21T00:00:00Z,NA,NA,"Urana, Walbundrie Rd.",NA,NA,106723753,22.96918149
J359,Eucalyptus sideroxylon,-34.47594,147.40941,NA,WGS84,2015-11-21T00:00:00Z,NA,NA,"Ingalba Nature Reserve, Hwy 94",NA,NA,178029135,38.82198027
J362,Eucalyptus sideroxylon,-33.42108,148.51126,NA,WGS84,2015-11-22T00:00:00Z,NA,NA,"Nangar Natl Park, Dripping Rock Rd.",NA,NA,147914782,32.07833338
J365,Eucalyptus melliodora,-33.31832,148.97163,NA,WGS84,2015-11-22T00:00:00Z,NA,NA,"Glenwood State Forest, Cargo Rd.",NA,NA,238631724,51.91158082
J367,Eucalyptus sideroxylon,-30.5285,151.15897,NA,WGS84,2015-12-15T00:00:00Z,NA,NA,"Uralla-Kingstown Rd, Kingstown",NA,NA,155734901,33.64626367
J373,Eucalyptus melliodora,-37.46662,147.83218,NA,WGS84,2016-01-24T00:00:00Z,NA,NA,Doctors Flat,NA,NA,134004910,29.00144069
J375,Eucalyptus melliodora,-37.40165,148.21443,NA,WGS84,2016-01-25T00:00:00Z,NA,NA,Buchan,NA,NA,154110569,33.15719716
J385,Eucalyptus sideroxylon,-36.17434,146.66263,NA,WGS84,2016-01-29T00:00:00Z,NA,NA,Chiltern,NA,NA,286087837,62.38985835
J387,Eucalyptus sideroxylon,-32.24456,146.18248,NA,WGS84,2016-01-29T00:00:00Z,NA,NA,Warrangatta,NA,NA,157598325,34.21768819
J401,Eucalyptus sideroxylon,-30.44023,151.25069,NA,WGS84,2016-04-05T00:00:00Z,NA,NA,"Torreyburn Rd, Yarrowyck",NA,NA,198995842,42.76145931
J405,Eucalyptus sideroxylon,-30.22862,151.23865,NA,WGS84,2016-04-05T00:00:00Z,NA,NA,Baldersleigh Rd,NA,NA,236252787,49.86445764
J416,Eucalyptus sideroxylon,-30.32322,149.26971,NA,WGS84,2016-06-17T00:00:00Z,NA,NA,Weewaa,NA,NA,145966644,31.51325743
J418,Eucalyptus sideroxylon,-31.05012,149.23013,NA,WGS84,2016-06-17T00:00:00Z,NA,NA,The Pilliga,NA,NA,188949864,40.97440909
J421,Eucalyptus sideroxylon,-32.36597,148.23103,NA,WGS84,2016-06-23T00:00:00Z,NA,NA,Narromine,NA,NA,178896095,38.77221662
J422,Eucalyptus sideroxylon,-32.22311,148.66797,NA,WGS84,2016-06-24T00:00:00Z,NA,NA,Dubbo,NA,NA,184154942,39.3538397
J425i,Eucalyptus sideroxylon,-30.30756,151.20671,NA,WGS84,2016-07-09T00:00:00Z,NA,NA,Bundarra,NA,NA,140838209,30.53678318
J430h,Eucalyptus sideroxylon,-28.56925,151.07571,NA,WGS84,2016-07-10T00:00:00Z,NA,NA,Inglewood,NA,NA,53133894,11.67186462
J433a,Eucalyptus sideroxylon,-28.17577,151.6577,NA,WGS84,2016-07-10T00:00:00Z,NA,NA,Glendon,NA,NA,108994496,23.86556733
J434a,Eucalyptus sideroxylon,-27.7547,152.1189,NA,WGS84,2016-07-10T00:00:00Z,NA,NA,Allora,NA,NA,103329646,22.59058396
J435d,Eucalyptus sideroxylon,-26.36944,151.88103,NA,WGS84,2016-07-10T00:00:00Z,NA,NA,Wondai,NA,NA,119961059,26.12511271
LBM01B01,Eucalyptus melliodora,-36.632668,144.35019,178,WGS84,NA,NA,NA,NA,NA,NA,98372807,14.65981407
LBM01B08,Eucalyptus melliodora,-36.3675,145.70232,268,WGS84,NA,NA,NA,NA,NA,NA,77674618,11.17742578
LBM01C02,Eucalyptus melliodora,-35.819633,145.31187,101,WGS84,NA,NA,NA,NA,NA,NA,97751615,14.46345653
LBM01C04,Eucalyptus melliodora,-36.86476,148.85016,638,WGS84,NA,NA,NA,NA,NA,NA,145177271,21.54315552
LBM01E06,Eucalyptus melliodora,-36.63518,149.56728,186,WGS84,NA,NA,NA,NA,NA,NA,89047057,13.21934966
LBM01E12,Eucalyptus melliodora,-33.416668,149.55055,712,WGS84,NA,NA,NA,NA,NA,NA,78786274,11.24754459
LBM01G05,Eucalyptus melliodora,-36.42797,144.41092,114,WGS84,NA,NA,NA,NA,NA,NA,108391616,16.23734011
LBM01G09,Eucalyptus melliodora,-33.423,149.752,844,WGS84,NA,NA,NA,NA,NA,NA,92501899,13.30937552
LBM01H10,Eucalyptus melliodora,-36.388,146.481,181,WGS84,NA,NA,NA,NA,NA,NA,90918203,13.02787566
